M	Jesse-Lingard	5100	MU	6.3 0
GK	Adrian	4600	WHU	6.3 0
D	Stephen-Ward	4100	BUR	6.3 0
M	Granit-Xhaka	3500	ARS	6.3 0
M	Junior-Stanislas	6800	BOU	6.1 0
D	Matthew-Lowton	4000	BUR	6.1 0
D	Bryan-Oviedo	3600	SUN	6 0
D	Joel-Matip	3600	LIV	6 0
F	Romelu-Lukaku	8700	EVE	5.8 0
M	N'Golo-Kante	3700	CHE	5.7 0
F	Salomon-Rondon	5300	WBA	5.6 0
D	Demetri-Mitchell	3000	MU	5.5 0
D	Aaron-Cresswell	3800	WHU	5.5 0
F	Andre-Ayew	4900	WHU	5.4 0
GK	Heurelho-Gomes	3900	WAT	5.3 0
D	Nyom	3600	WBA	5.3 0
D	Dejan-Lovren	3400	LIV	5.3 0
M	Jeff-Hendrick	3300	BUR	5.3 0
D	Rob-Holding	3100	ARS	5.2 0
M	Harry-Arter	3700	BOU	5.1 0
F	Oumar-Niasse	4500	HUL	5 0
D	Alfie-Mawson	3200	SWA	4.5 0
D	Josh-Tymon	2500	HUL	4.46 0
M	Nacer-ChadliM	5300	WBA	4.4 15
F	Nacer-ChadliF	5300	WBA	4.4 15
D	Javier-Manquillo	3100	SUN	4.4 0
M	Victor-Wanyama	3200	TOT	3.9 0
